artists_name,track_name,in_deezer_playlists
Miley Cyrus,Flowers,745
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday  feat. Mufasa & Hypeman  - Dopamine Re-Edit,710
Adele,Easy On Me,657
"Imagine Dragons, League of Legends, JID, Arcane",Enemy  with JID  - from the series Arcane League of Legends,580
"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,569
"Lost Frequencies, Calum Scott",Where Are You Now,557
"Bebe Rexha, David Guetta","I'm Good  Blue ",537
"The Weeknd, ROSAL�","LA FAMA  with The Weeknd ",507
"SZA, Doja Cat","Kiss Me More  feat. SZA ",497
"Camila Cabello, Ed Sheeran","Bam Bam  feat. Ed Sheeran ",492
Farruko,Pepas,965
Harry Styles,As It Was,863
"Justin Bieber, The Kid Laroi","STAY  with Justin Bieber ",798
R��,Calm Down,750
"Jack Harlow, Lil Nas X","INDUSTRY BABY  feat. Jack Harlow ",690
"Justin Bieber, Daniel Caesar, Giveon","Peaches  feat. Daniel Caesar & Giveon ",612
Gayle,abcdefu,575
Ed Sheeran,Shivers,543
Olivia Rodrigo,drivers license,485
Doja Cat,Woman,463
