artists_name,track_name,streams
"A$AP Rocky, Metro Boomin, Roisee","Am I Dreaming  Metro Boomin & A$AP Rocky, Roisee ",94186466
Agust D,Haegeum,118810253
"Ana Castela, AgroPlay",Nosso Quadro,233801632
"Arcangel, Bizarrap","Arc��ngel: Bzrp Music Sessions, Vol",100409613
"Ariana Grande, The Weeknd",Die For You - Remix,518745108
"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya","Phir Aur Kya Chahiye  From ""Zara Hatke Zara Bachke"" ",64533040
Bad Bunny,WHERE SHE GOES,303236322
"Bad Bunny, Eladio Carrion",Coco Chanel,250305248
"Bad Bunny, Grupo Frontera",un x100to,505671438
"Becky G, Peso Pluma",Chanel,161460990
"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",Los del Espacio,123122413
"Big One, FMK, Ke personajes",Un Finde | CROSSOVER #2,142095275
Billie Eilish,"What Was I Made For?  From The Motion Picture ""Barbie"" ",30546883
"Bizarrap, Peso Pluma","Peso Pluma: Bzrp Music Sessions, Vol. 55",200647221
"BLESSD, Peso Pluma",Las Morras,127026613
BTS,Take Two,118482347
"Calvin Harris, Ellie Goulding","Miracle  with Ellie Goulding ",211050784
"Cartel De Santa, La Kelly",Shorty Party,162887075
Chino Pacas,El Gordo Trae El Mando,255932395
"Dave, Central Cee",Sprinter,183706234
"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,177740666
David Kushner,Daylight,387570742
"dennis, MC Kevin o Chris",T��,111947664
Doechii,"What It Is  Solo Version ",95131998
"Don Toliver, Future, Justin Bieber","Private Landing  feat. Justin Bieber & Future ",105062254
Drake,Search & Rescue,175097833
Ed Sheeran,Curtains,39893489
Ed Sheeran,Eyes Closed,195576623
ENHYPEN,Bite Me,76767396
"Eslabon Armado, Peso Pluma",Ella Baila Sola,725980112
Feid,REMIX EXCLUSIVO,117206995
"Feid, Mora, Saiko, Quevedo",POLARIS - Remix,57312735
"Feid, Myke Towers, Sky Rompiendo",El Cielo,107753850
"Feid, Young Miko",Classy 101,335222234
Fifty Fifty,Cupid,139681964
Fuerza Regida,SABOR FRESA,78300654
Fuerza Regida,TQM,176553476
"Fuerza Regida, Chino Pacas",Dijeron Que No La Iba Lograr,116334601
G I-DLE,Queencard,96273746
"Grupo Marca Registrada, Grupo Frontera",Di Que Si,147290338
Gunna,fukumean,95217315
"Halsey, Suga","Lilith  feat. SUGA of BTS   Diablo IV Anthem ",51985779
"Israel & Rodolffo, Mari Fernandez",Seu Brilho Sumiu - Ao Vivo,138517666
"IU, Agust D","People Pt.2  feat. IU ",95816024
IVE,I AM,123132751
"J. Cole, Lil Durk","All My Life  feat. J. Cole ",144565150
"James Blake, Metro Boomin","Hummingbird  Metro Boomin & James Blake ",39666245
"Jasiel Nu��ez, Peso P",LAGUNAS,39058561
"Jasiel Nu��ez, Peso P",Rosa Pastel,90025258
"j-hope, J. Cole","on the street  with J. Cole ",116599790
Jimin,Like Crazy,363369738
Jimin,"Like Crazy  English Version ",173627354
Jimin,Set Me Free Pt.2,168448603
JISOO,FLOWER,232896922
"Junior H, Eden Mu��",Abcdario,89933133
"Junior H, Peso Pluma",El Azul,354495408
"Junior H, Peso Pluma",LUNA,55842345
Kali Uchis,Moonlight,256483385
"Kaliii, Kaliii",Area Codes,113509496
"Kanii, PR1ISVX",I Know - PR1SVX Edit,77377503
Karol G,AMARGURA,153372011
Karol G,S91,16011326
"Karol G, Quevedo",PERO T�,93438910
"Karol G, Romeo Santos",X SI VOLVEMOS,266624541
"Karol G, Shakira",TQG,618990393
"Kendrick Lamar, Beyonc�","AMERICA HAS A PROBLEM  feat. Kendrick Lamar ",57089066
Labrinth,Never Felt So Alone,117747907
"Latto, Jung Kook","Seven  feat. Latto   Explicit Ver. ",141381703
"Lil Durk, Morgan Wallen","Stand By Me  feat. Morgan Wallen ",46065667
Loreen,Tattoo,201660859
Luke Combs,Fast Car,157058870
Mae Stephens,If We Ever Broke Up,165584767
Mahalini,Sial,166570053
"Mambo Kingz, DJ Luian, Anuel Aa",Mas Rica Que Ayer,146409671
"Mambo Kingz, DJ Luian, Anuel Aa",Mejor Que Yo,50847624
Maria Becerra,CORAZ��N VA,43857627
"Marshmello, Manuel Turizo",El Merengue,223633238
"MC Caverinha, KayBlack",Cart��o B,71573339
"Mc Livinho, DJ Matt D",Novidade na ��,39709092
"Mc Pedrinho, DJ 900","Gol Bolinha, Gol Quadrado 2",11956641
Melanie Martinez,VOID,67070410
"Metro Boomin, Coi Leray","Self Love  Spider-Man: Across the Spider-Verse   Metro Boomin & Coi Leray ",70106975
Miley Cyrus,Flowers,1316855716
Morgan Wallen,Everything I Love,95623148
Morgan Wallen,Last Night,429829812
Morgan Wallen,Thinkin��� B,125917280
Myke Towers,LALA,133716286
Natanael Cano,Mi Bello Angel,31873544
"Natanael Cano, Peso Pluma",PRC,436027885
NewJeans,New Jeans,29562220
NewJeans,OMG,430977451
NewJeans,Super Shy,58255150
NF,HAPPY,52722996
Niall Horan,Heaven,144584800
Nicki Minaj,Red Ruby Da Sleeze,81419389
"Nicki Minaj, Aqua, Ice Spice","Barbie World  with Aqua   From Barbie The Album ",65156199
"Nicky Jam, Feid",69,57945987
"Nile Rodgers, LE SSERAFIM","UNFORGIVEN  feat. Nile Rodgers ",92035115
Olivia Rodrigo,vampire,140003974
"Oscar Maydon, Junior H",Fin de Semana,307370144
P!nk,TRUSTFALL,134255790
