artists_name,track_name,in_spotify_playlists
"SZA, Doja Cat","Kiss Me More  feat. SZA ",15867
"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,14417
"Bebe Rexha, David Guetta","I'm Good  Blue ",12482
"Cherish, ACRAZE",Do It To It,12403
Miley Cyrus,Flowers,12211
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday  feat. Mufasa & Hypeman  - Dopamine Re-Edit,12043
"Lost Frequencies, Calum Scott",Where Are You Now,10565
Adele,Easy On Me,10195
Beyonc�,BREAK MY SOUL,9724
"Ti��sto, Ava",The Motto,9151
Harry Styles,As It Was,23575
"Justin Bieber, The Kid Laroi","STAY  with Justin Bieber ",17050
Olivia Rodrigo,good 4 u,15563
"Justin Bieber, Daniel Caesar, Giveon","Peaches  feat. Daniel Caesar & Giveon ",14140
Farruko,Pepas,14114
"Jack Harlow, Lil Nas X","INDUSTRY BABY  feat. Jack Harlow ",13315
Olivia Rodrigo,drivers license,12685
Ed Sheeran,Shivers,10147
Bad Bunny,Yonaguni,9644
Doja Cat,Woman,9424
