artists_name,track_name,released_year,streams
"SZA, Doja Cat","Kiss Me More  feat. SZA ",2021,1575467011
"Chencho Corleone, Bad Bunny",Me Porto Bonito,2022,1440757818
Adele,Easy On Me,2021,1406111294
"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",2022,1356565093
Miley Cyrus,Flowers,2023,1316855716
Bad Bunny,Titi Me Pregunt�,2022,1264310836
Olivia Rodrigo,deja vu,2021,1256880657
"Sam Smith, Kim Petras","Unholy  feat. Kim Petras ",2022,1230675890
"Imagine Dragons, League of Legends, JID, Arcane",Enemy  with JID  - from the series Arcane League of Legends,2021,1223481149
Manuel Turizo,La Bachata,2022,1214083358
"Justin Bieber, The Kid Laroi","STAY  with Justin Bieber ",2021,2665343922
Harry Styles,As It Was,2022,2513188493
Olivia Rodrigo,good 4 u,2021,1887039593
Olivia Rodrigo,drivers license,2021,1858144199
"Jack Harlow, Lil Nas X","INDUSTRY BABY  feat. Jack Harlow ",2021,1814349763
"Justin Bieber, Daniel Caesar, Giveon","Peaches  feat. Daniel Caesar & Giveon ",2021,1445941661
Doja Cat,Woman,2021,1329090101
Farruko,Pepas,2021,1309887447
Ed Sheeran,Shivers,2021,1302184087
Bad Bunny,Yonaguni,2021,1260594497
